id,name,filename,prompt
1,Hero - Industrial Craftsmanship,hero-industrial.txt,"Ultra-wide hero: a skilled technician shaping a custom wrench on a glowing anvil in a modern workshop, cinematic dramatic lighting, shallow depth of field, photo-real, 35mm lens, subtle motion blur on sparks, warm tungsten highlights with cool rim light, high contrast, 4k, centered composition, space for headline and CTA on left, negative space, brand colors: deep slate #1f2937 and accent orange #f97316" 
2,Service - Website Build,service-website-build.txt,"Isometric scene of a website blueprint coming to life: wireframes lifting off a drafting table and assembling into a sleek desktop and mobile screen, clean vector-photoreal hybrid, soft studio lighting, cool blue and white palette, room for headline at top, minimalist icons, high clarity, 4000x2500"
3,Service - Local SEO,service-local-seo.txt,"A stylized map pin transforming into a magnifying glass over a neighborhood map, tactile paper and ink textures, warm natural light, shallow depth, modern flat+real mix, brand accent green #10b981, clear negative space for header copy, 300 dpi"
4,Service - GBP Optimization,service-gbp.txt,"Close-up of a Google Business Profile dashboard UI rendered as a polished control panel with glowing toggles and performance graphs, cinematic UI lighting, semi-transparent overlays, high-detail micro-interactions visible, cool teal accents, plenty of top-center space for headline" 
5,Service - Review Funnels,service-reviews.txt,"A friendly customer journey illustration: happy customer leaving 5-star review bubbles flowing into a golden funnel, glossy 3D icons, soft pastel background, joyful human hand holding phone, studio softbox lighting, composition leaves left-aligned headline room"
6,Service - Managed Hosting,service-hosting.txt,"A secure server pod floating inside a protective mechanical wrench-shaped shield, neon edge lighting, photoreal metallic surfaces, depth, cool blues and purples, techy bokeh background, centered composition with headline space above" 
7,Team - Founders Portrait,team-founders.txt,"Editorial portrait of two co-founders in a modern workshop: relaxed, confident, candid smile, shallow depth, natural window light, muted industrial background, filmic color grading, headroom for small headline, 85mm lens look" 
8,Team - Engineers Group,team-engineers.txt,"Dynamic group shot of four engineers collaborating over a prototype in a bright studio, motion suggestions, diverse ethnicity, warm fill light with cool backlight, wide-angle composition, room for testimonial quote overlay" 
9,Tools - Wrench Icon Set,tools-wrench-icons.txt,"Clean set of 6 vector wrench icons in three styles (outline, filled, 3D gloss) on soft gradient cards, consistent stroke, drop shadow subtle, brand accent palette applied, export-ready artboard layout, minimal composition" 
10,Maps - Service Area Map,map-service-area.txt,"Stylized service area map showing coverage across a city: simplified roads, highlighted neighborhoods with subtle texture, pin clusters, modern cartographic aesthetic, brand color overlays, top-right space for CTA" 
11,Badges - Trust & Warranty,badges-trust.txt,"A set of three trust badges: ""Satisfaction Guaranteed"", ""Certified Local"", ""24/7 Support"" — metallic enamel finish, embossed look, consistent radius, soft studio reflections, PNG-ready on transparent background" 
12,Social Banner - Facebook,social-facebook.txt,"Landscape social banner: smiling technician handing keys to a small business owner in front of a storefront bearing Wrench Works signage, candid warm sunlight, shallow depth, room for tagline and logo on right, 1200x630" 
13,Social Banner - LinkedIn,social-linkedin.txt,"Professional banner: team huddle over a project plan on tablet with overlay grid and subtle brand diagonal accent, cool professional tones, clean font-safe area, 1584x396" 
14,Social Banner - Twitter,social-twitter.txt,"Action shot of a wrench in motion with sparks forming the company name in stylized type, high contrast, dark background with neon accent, 1500x500, bold composition" 
15,Favicon - Tool Mark,favicon.txt,"Tiny minimalist favicon: single stylized wrench head silhouette with negative-space WW monogram, flat two-color (deep slate and accent orange), crisp at 16x16 and 32x32" 
16,Hero - Local Small Business,hero-local-business.txt,"Hero image: storefront exterior of a small service business with a clean window sign and friendly technician in foreground, morning golden hour light, cinematic shallow focus, space for large headline centered-left, 4k" 
17,Service - Conversion Audit,service-audit.txt,"Flat-lay desk scene showing printed audit checklist, annotated screenshots, red pen, coffee cup, warm ambient light, editorial style, copy space for headline upper-left" 
18,Service - GBP Photoshoot,service-gbp-photoshoot.txt,"Bright, authentic photos of real business exteriors and interiors (cafes, gyms, salons) with staff interacting with customers, natural light, candid moments, consistent color grade for GBP gallery" 
19,Team - Behind the Scenes,team-bts.txt,"Candid behind-the-scenes: team installing a sign, wiring equipment, hands-on tools, high-grain documentary feel, high contrast black-and-white option plus color version, space for short caption" 
20,Tools - Workshop Detail,tools-workshop.txt,"Macro detail shot: precision wrench teeth and textured metal surface with shallow depth, cool spotlighting, high-res for hero crop and marketing assets, dark moody background" 
21,Badges - Industry Logos,badges-industry.txt,"Row of partner and accreditation logos on subtle textured strip, equalized sizing, desaturated to greyscale with one brand-color accent, export-ready SVG and PNG variants" 
22,Social Banner - Instagram Story,social-instagram.txt,"Vertical story-friendly graphic showing before/after of a GBP listing with swipe-up CTA, split-screen animated idea, bright optimistic tones, 1080x1920, guide for motion designer" 
23,Maps - Local SEO Heatmap,map-heatmap.txt,"Overlay heatmap visualization of search demand across neighborhoods with gradient from teal to orange, semi-transparent layers over simplified map, legend and subtle grid, high-res" 
24,Hero - Service Montage,hero-montage.txt,"Collage-style hero combining 3 circular cutouts: technician, dashboard UI, storefront, unified warm color grade, subtle drop shadows, headline space centered top, high-res composite" 
25,Badges - Eco & Community,badges-eco.txt,"Two illustrated circular badges: ""Locally Owned"" with a small mountain icon, and ""Eco-Conscious"" with leaf motif, hand-painted texture, warm earth-tone palette, transparent backgrounds" 
26,Social Banner - Twitter Ad,social-twitter-ad.txt,"Bold horizontal ad: 3-step process illustrated with numbered cards (Assess, Optimize, Launch), concise copy block, strong CTA button area, high contrast, mobile-first safe area, 1200x675"
